FECHA;ESCENARIO;;SALA GAYARRE;;S.E.P.E;;SALA BALLET;;SALA DE ORQUESTA                                       SALA DE CORO;;OTRAS SALAS;
SEMANA Nº45   PROVISIONAL;;;;;;;;;;;;
Lunes;01.00-08.00h;Cambio a EVENTO;;;;;;;;;;
;08.00-08.30h;Preparación Actividad;;;11.00-14.00h;E.Piano CARMEN;RESERVADA                                                                                               MANDARÍN / BARBAZUL;;SALA DE ORQUESTA;;;
3;09.00-10.00h;Afinación de pianos;;;;;;;10:00-16:00h;PRELIMINARES AUDICION TENOR VIÑAS;;
;10.00h;Montaje orquesta;;;;;;;16:00h;MONTAJE PATRONATO;;
;10.00-10.25h;PAUSA TECNICA;;;;;;;;;;
;11.00-14.00h;Grabación técnica & ensayo parte institucional;;;16.00-19.00h;E.Piano CARMEN;;;SALA DE CORO;;;
;14.00-15.00h;Ensayo Dúo del Valle;;;;;;;;;;
Nov. 2025;15.00-16.00h;Ensayo José Mercé;;;;;;;;;;
;16.00-17.00h;Ensayo Orquesta RTVE;;;;;;;;;;
;17.00-17.15h;Ensayo Najarro;;;;;;;;;;
;17.15-18.00h;Repaso escaleta con regiduría;;;;;;;;;;
;14.30-15.00h;PAUSA TECNICA;;;;;;;;;;
;17.00-18.00h;Revisión escenario Casa Real;;;;;;;;;;
;18.00-18.30h;Ajustes técnicos & Afinación 2/2;;;;;;;;;;
;18.30-19.00h;Limpieza de escenario;;;;;;;;;;
;20.00-21.30h;40 Edicion Premios de Pintura BMW;;;;;;;;;;
;23.15-23.30h;Desmontaje EVENTO y cambio a MANDARÍN;;;;;;;;;;
Martes;00.00-03.00h;Desmontaje EVENTO;;;;;;;;;;
;16.00-18.00h;Montaje Orquesta;;;11.00-14.00h;E.Piano CARMEN;08.00-17.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      CARMEN;;SALA DE ORQUESTA;;CINE - 1;
4;16.00-18.30h;Preparación Función;;;;;;;PATRONATO TR;;15.00-17.30h;Universidad a Escena
;08.30-10.00h;Cambio a MANDARÍN / BARBAZUL;;;;;;;;;;
;10.00-10.25h;PAUSA TECNICA;;;;;;;;;;
;10.00-10.30h;VISITA GENERAL;;;;;;;SALA DE CORO;;;
;10.30-14.30h;Cambio a MANDARÍN / BARBAZUL;;;;;;;11.00-14.00h;E. Musical Coro;;
;14.30-15.00h;PAUSA TECNICA;;;;;;;16.00-19.00h;E. Musical Coro;;
;15.00-16.00h;Preparación Función;;;;;;;;;;
;16.00-17.00h;Montaje Orquesta;;;16.00-19.00h;E.Piano CARMEN;17.30-23.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 MANDARÍN / BARBAZUL;;;;;
;16.00-18.30h;Preparación Función;;;;;;;;;;
;18.30-19.00h;PAUSA TECNICA;;;;;;;;;;
;19.30h;EL MANDARÍN MARAVILLOSO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               EL CASTILLO DE BARBAZUL    02/05;;;;;;;;;;
Nov. 2025;;;;;;;;;;;;
;a 00.00h;Cambio a EVENTO;;;;;;;;;;
Miércoles;01.00-08.00h;Cambio a EVENTO;;;;;;;;;;
;08.00-08.30h;Preparación Actividad;;;11.00-14.00h;E.Piano CARMEN;RESERVADA                                                                                               CARMEN;;SALA DE ORQUESTA;;;
5;08.00-09.00h;Ajustes técnicos;;;;;;;;;CINE - 1;
;09.00-12.00h;Ensayo cliente & presentación;;;;;;;;;10.30-12.30h;Examen Mec. Escénica 
;10.00-10.25h;PAUSA TECNICA técnicos TR;;;;;;;;;;(RRHH)
;12.00-14.00h;Ajustes & pruebas;;;16.00-19.00h;E.Piano CARMEN;;;SALA DE CORO;;;
;14.00-16.00h;Pausa personal externo & afinación piano;;;;;;;11.00-14.00h;E. Musical Coro;;
Nov. 2025;14.30-15.00h;PAUSA TECNICA técnicos TR;;;;;;;16.00-19.00h;E. Musical Coro;;
;16.00-16.30h;Ensayo musical & presentador;;;;;;;;;;
;17.00-17.30h;Ajustes técnicos & limpieza escenario;;;;;;;;;;
;17.30h;Apertura de puertas;;;;;;;;;;
;18.30-21.10h;GALA 40 ANIVERSARIO ISDEFE;;;;;;;;;;
;23.15-23.30h;Desmontaje EVENTO;;;;;;;;;;
Jueves;00.00-01.00h;Desmontaje EVENTO;;;;;;;;;;
;08.00-08.30h;Preparación Actividad;;;11.00-14.00h;E.Piano CARMEN;08.00-17.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      CARMEN;;SALA DE ORQUESTA;;CINE - 1;
6;08.30-10.00h;Cambio a MANDARÍN / BARBAZUL;;;;;;;;;09.00-22.00h;Conferencias audiovisuales
;10.00-10.25h;PAUSA TECNICA;;;;;;;;;;ÓPERA EUROPA
;10.00-10.30h;VISITA GENERAL;;;;;;;;;;
;10.30-14.30h;Cambio a MANDARÍN / BARBAZUL;;;;;;;SALA DE CORO;;;
;14.30-15.00h;PAUSA TECNICA;;;;;;;11.00-14.00h;E. Musical Coro;;
;15.00-16.00h;Preparación Función;;;;;;;16.00-19.00h;E. Musical Coro;;
;16.00-17.00h;Montaje Orquesta;;;16.00-19.00h;E.Piano CARMEN;17.30-23.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 MANDARÍN / BARBAZUL;;;;;
;16.00-18.30h;Preparación Función;;;;;;;;;;
;18.30-19.00h;PAUSA TECNICA;;;;;;;;;;
