FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET	,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
SEMANA Nº06   PROVISIONAL,,,,,,,,,,,,
Lunes                     ,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,SALA DE ORQUESTA,,,
2,08.30-10.00h,E. Luces ENEMIGO DEL PUEBLO,,,,,,,11.00-14.00h,L.O.  I MASNADIERI (2),,
,08.30-14.30h,Montaje -16  SUEÑO DE UNA NOCHE DE VERANO,,,,,,,16.00-19.00h,L.O.  I MASNADIERI (3),,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E. Luces ENEMIGO DEL PUEBLO,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,15.30-16.30h,Montaje orquesta,,,16.00-19.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,,,,,,
,16.00-17.00h,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Limpieza,,,,,,,,,,
,17.00-22.00h,E.Antepiano ENEMIGO DEL PUEBLO,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Feb. 2026   ,20.00-23.15h,Ajustes Técnicos LEAR,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Martes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,SALA DE ORQUESTA,,,
3,08.30-10.00h,E. Luces ENEMIGO DEL PUEBLO,,,,,,,16.00-20.00h,E.Musical I MASNADIERI,,
,08.30-14.30h,Montaje -16  SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E. Luces ENEMIGO DEL PUEBLO,,,,,,,13.00-15.00h,E. Musical CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,15.30-16.30h,Montaje orquesta,,,16.00-19.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,,,,,,
,16.00-17.00h,Preparación ensayo,,,,,,,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,17.00-21.00h,E.Conjunto ENEMIGO DEL PUEBLO (1),,,,,,,,,,
,21.00-22.00h,Ajustes Técnicos ENEMIGO DEL PUEBLO,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Feb. 2026   ,22.30-23.15h,Ajustes Técnicos ENEMIGO DEL PUEBLO,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Miércoles,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,RESERVADA                                                                                         SUEÑO DE UNA NOCHE DE VERANO,,SALA DE ORQUESTA,,,
4,08.30-10.00h,E. Luces ENEMIGO DEL PUEBLO,,,,,,,16.00-20.00h,E.Musical I MASNADIERI,,
,08.30-14.30h,Montaje -16  SUEÑO DE UNA NOCHE DE VERANO,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E. Luces ENEMIGO DEL PUEBLO,,,,,,,13.00-15.00h,E. Musical CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
