FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
SEMANA Nº23   PROVISIONAL,,,,,,,,,,,,
Lunes,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano IL TROVATORE,08.00-17.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              RESERVADA                                                                                         IL TROVATORE,,SALA DE ORQUESTA,,,
1,08.30-10.00h,Dossier Técnico ROMEO Y JULIETA,,,,,,,,,,
,08.30-14.30h,Montaje -16 IL TROVATORE,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dossier Técnico ROMEO Y JULIETA,,,,,,,18.30-19.30h,Vocalización  CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,16.00-19.00h,E.Piano IL TROVATORE,17.30-23.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          RESERVADA                                                                                         ROMEO Y JULIETA,,,,,
,16.00-18.30h,Preparación Función,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,ROMEO Y JULIETA    05/13       REP.A,,,,,,,,,,
Jun. 2026,,,,,,,,,,,,
,a 00.00h,Recogida y finalización actividad,,,,,,,,,,
Martes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano IL TROVATORE,RESERVADA AUDICIONES OSM,,SALA DE ORQUESTA,,TEATROS DEL CANAL - SALA ROJA,
2,08.30-10.00h,Montaje Conchita,,,,,,,09.00-18.00h,AUDICIONES OSM,20.00h,LOS ESTUNMEN 1/12
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.30-13.00h,Montaje Conchita,,,,,,,,,,
,XX.XX-XX.XXh,Llegada de musicos,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Ensayo + Limpieza,,,,,,,,,,
,XX.XX-XX.XXh,Afinacion Clave + Organo + Limpieza,,,16.00-19.00h,E.Piano IL TROVATORE,,,,,,
,XX.XX-XX.XXh,Ensayo general concierto,,,,,,,,,,
,a 18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.00h,ÓPERA EN CONCIERTO: ARIODANTE 1/1    ,,,,,,,,,,
Jun. 2026,,,,,,,,,,,,
,a 00.00h,Desmontaje ÓPERA EN CONCIERTO,,,,,,,,,,
Miércoles,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano IL TROVATORE,09.00-15.00h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              RESERVADA                                                                                         AUDICIONES OSM,,SALA DE ORQUESTA,,TEATROS DEL CANAL - SALA ROJA,
3,08.30-10.00h,Cambio a ROMEO Y JULIETA,,,,,,,,,20.00h,LOS ESTUNMEN 2/12
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Cambio a ROMEO Y JULIETA,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,18.30-19.30h,Vocalización  CORO,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,16.00-19.00h,E.Piano IL TROVATORE,17.30-23.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          RESERVADA                                                                                         ROMEO Y JULIETA,,,,,
,16.00-18.30h,Preparación Función,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,ROMEO Y JULIETA    06/13       REP.B,,,,,,,,,,
Jun. 2026,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
Jueves,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano IL TROVATORE,08.00-17.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              RESERVADA                                                                                         IL TROVATORE,,SALA DE ORQUESTA,,TEATROS DEL CANAL - SALA ROJA,
4,08.30-10.00h,Dossier Técnico ROMEO Y JULIETA,,,,,,,,,20.00h,LOS ESTUNMEN 3/12
,08.30-14.30h,Montaje -16 IL TROVATORE,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dossier Técnico ROMEO Y JULIETA,,,,,,,18.30-19.30h,Vocalización  CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,16.00-19.00h,E.Piano IL TROVATORE,17.30-23.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          RESERVADA                                                                                         ROMEO Y JULIETA,,,,,
,16.00-18.30h,Preparación Función,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,ROMEO Y JULIETA    07/13       REP.A,,,,,,,,,,
Jun. 2026,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
Viernes,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano IL TROVATORE,,,SALA DE ORQUESTA,,TEATROS DEL CANAL - SALA ROJA,
5,"DISPONIBLE EVENTO                 
ESCENARIO COMPLETO",,,,,,,,,,20.00h,LOS ESTUNMEN 4/12
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,16.00-19.00h,E.Piano IL TROVATORE,,,SALA DE CORO,,,
,,,,,,,,,,,,
Jun. 2026,,,,,,,,,,,,
,a 23.30h,Desmontaje EVENTO,,,,,,,,,,
Sábado,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,RESERVADA                                                                                              ROMEO Y JULIETA,,SALA DE ORQUESTA,,TEATROS DEL CANAL - SALA ROJA,
6,08.30-10.00h,Cambio a ROMEO Y JULIETA,,,,,,,,,20.00h,LOS ESTUNMEN 5/12
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Cambio a ROMEO Y JULIETA,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,18.30-19.30h,Vocalización  CORO,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,,,,,,,,
,16.00-18.30h,Preparación Función,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,ROMEO Y JULIETA    08/13       REP.B,,,,,,,,,,
Jun. 2026,,,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Domingo,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano IL TROVATORE,08.00-17.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              RESERVADA                                                                                         IL TROVATORE,,SALA DE ORQUESTA,,TEATROS DEL CANAL - SALA ROJA,
7,08.30-10.00h,Dossier Técnico ROMEO Y JULIETA,,,,,,,RESERVA FUNDACION ALBENIZ,,19.30h,LOS ESTUNMEN 6/12
,08.30-14.30h,Montaje -16 IL TROVATORE,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dossier Técnico ROMEO Y JULIETA,,,,,,,17.00-18.00h,Vocalización  CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,15.30-16.00h,Montaje Orquesta,,,16.00-19.00h,E.Piano IL TROVATORE,17.30-23.30h                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          RESERVADA                                                                                         ROMEO Y JULIETA,,,,,
,15.30-17.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.00h,ROMEO Y JULIETA    09/13       REP.A,,,,,,,,,,
Jun. 2026,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
SEMANA Nº24   PROVISIONAL,,,,,,,,,,,,
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
Lunes,00.00-07.00h,Montaje EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano IL TROVATORE,RESERVADA                                                                                                                                              IL TROVATORE,,SALA DE ORQUESTA,,,
8,"DISPONIBLE EVENTO               
ESCENARIO COMPLETO",,,,,,,,RESERVA FUNDACION ALBENIZ,,,
