FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
SEMANA Nº14   PROVISIONAL,,,,,,,,,,,,
Lunes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje NOVIA VENDIDA                                                             Montaje ROMEO Y JULIETA,,RESERVADA                                                                             NOVIA VENDIDA,,SALA DE ORQUESTA,,,
30,08.30-10.00h,E.Luces NOVIA VENDIDA,,,,,,,11.00-14.00h,L.O.  NOVIA VENDIDA (1),,
,08.30-14.30h,Montaje -16  ROMEO Y JULIETA,,,,,,,16.00-19.00h,L.O.  NOVIA VENDIDA (2),,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E.Luces NOVIA VENDIDA,,,,,,,13.00-15.00h,E. Musical CORO,,
,14.30-15.00,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Preparación ensayo,,,,,,,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,17.00-22.00h,E.Piano NOVIA VENDIDA (3),,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Mar. 2026   ,22.30-23.15h,Ajustes Técnicos NOVIA VENDIDA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Martes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje NOVIA VENDIDA                                                             Montaje ROMEO Y JULIETA,,RESERVADA                                                                             NOVIA VENDIDA,,SALA DE ORQUESTA,,,
31,08.30-10.00h,E.Luces NOVIA VENDIDA,,,,,,,11.00-14.00h,L.O.  NOVIA VENDIDA (3),,
,08.30-14.30h,Montaje -16  ROMEO Y JULIETA,,,,,,,16.00-19.00h,L.O.  NOVIA VENDIDA (4),,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E.Luces NOVIA VENDIDA,,,,,,,13.00-15.00h,E. Musical CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Preparación ensayo,,,,,,,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
