FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
SEMANA Nº49   PROVISIONAL,,,,,,,,,,,,
Lunes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje CARMEN                                 Montaje ARIANE ET BARBE BLEUE,,RESERVADA                                                                                               CARMEN,,SALA DE ORQUESTA,,,
1,08.30-10.00h,Preparación ensayo,,,,,,,15.30-16.30h, AUDICIONES ARTISTICAS,,
,08.30-10.00h,Montaje Orquesta,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,11.30-14.30h,E.Italiana CARMEN (1),,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-17.00h,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Limpieza,,,,,,,,,,
,17.00-20.00h,E.Italiana CARMEN (2),,,,,,,,,,
,20.00-22.00h,Ajustes Técnicos CARMEN,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Dic. 2025,22.30-23.15h,Ajustes Técnicos CARMEN,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Martes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,RESERVADO EVENTO ,,Desmontaje CARMEN                                 Montaje ARIADNE Y BARBAZUL,,RESERVADA                                                                                               CARMEN,,,,CINE - 1,
2,08.30-10.00h,E.Luces CARMEN,,,,,,,,,14.00-16.00h,Universidad a Escena
,08.30-14.30h,Montaje -16  ARIADNE Y BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E.Luces CARMEN,,,,,,,12.00-14.00h,E. Musical Coro,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-15.30h,Preparación Pasada + Limpieza,,,,,,,,,,
,15.30-16.15h,Ensayo Técnico CARMEN ,RESERVADO EVENTO ,,,,,,,,,
,16.15-16.30h,Preparación Ensayo,,,,,,,,,,
,16.30-21.30h,E.Conjunto CARMEN (1),,,,,,,,,,
,21.30-22.00h,Ajustes Técnicos CARMEN,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Dic. 2025,22.30-23.15h,Ajustes Técnicos CARMEN,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Miércoles,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje CARMEN                                 Montaje ARIADNE Y BARBAZUL,,RESERVADA                                                                                               CARMEN,,SALA DE ORQUESTA,,,
3,08.30-10.00h,E.Luces CARMEN,,,,,,,,,,
,08.30-14.30h,Montaje -16  ARIADNE Y BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E.Luces CARMEN,,,,,,,12.00-14.00h,E. Musical Coro,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-15.30h,Preparación Pasada + Limpieza,,,,,,,,,,
,15.30-16.15h,Ensayo Técnico CARMEN ,,,,,,,,,,
,16.15-16.30h,Preparación Ensayo,,,,,,,,,,
,16.30-21.30h,E.Conjunto CARMEN (2),,,,,,,,,,
,21.30-22.00h,Ajustes Técnicos CARMEN,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Dic. 2025,22.30-23.15h,Ajustes Técnicos CARMEN,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Jueves,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje CARMEN                                 Montaje ARIADNE Y BARBAZUL,,RESERVADA                                                                                               CARMEN,,SALA DE ORQUESTA,,,
4,08.30-10.00h,E.Luces CARMEN,,,,,,,15.00-19.00h,Curso - Carmen,,
,08.30-14.30h,Montaje -16  ARIADNE Y BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E.Luces CARMEN,,,,,,,12.00-14.00h,E. Musical Coro,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-15.30h,Preparación Pasada + Limpieza,,,,,,,,,,
,15.30-16.15h,Ensayo Técnico CARMEN ,16.00-21.00h. CURSO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Los secretos de la ópera: retórica y significados I,,,,,,,,,
,16.15-16.30h,Preparación Ensayo,,,,,,,,,,
,16.30-21.30h,E.Conjunto CARMEN (3),,,,,,,,,,
,21.30-22.00h,Ajustes Técnicos CARMEN,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Dic. 2025,22.30-23.15h,Ajustes Técnicos CARMEN,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Viernes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje CARMEN                                 Montaje ARIADNE Y BARBAZUL,,,,SALA DE ORQUESTA,,,
5,08.30-10.00h,E.Luces CARMEN,,,,,,,09.00-19.00h,EVENTO FORBES,,
,08.30-14.30h,Montaje -16  ARIADNE Y BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E.Luces CARMEN,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Pasada + Limpieza,,,,,,,,,,
,15.30-16.00h,Preparación Ensayo,,,,,,,,,,
,16.00-16.45h,Ensayo Técnico CARMEN ,,,,,,,,,,
,16.45-17.00h,Preparación Ensayo,,,,,,,,,,
,17.00-22.00h,E.Antepiano CARMEN,,,,,,,,,,
Dic. 2025,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
,22.30-23.15h,Ajustes Técnicos CARMEN,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Sábado,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje CARMEN                                 Montaje ARIADNE Y BARBAZUL,,RESERVADA                                                                                               CARMEN,,SALA DE ORQUESTA,,,
6,08.30-10.00h,E.Luces CARMEN,,,,,,,,,,
,08.30-14.30h,Montaje -16  ARIADNE Y BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E.Luces CARMEN,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Ajustes Técnicos CARMEN,,,,,,,,,,
,16.00-16.45h,Ensayo Técnico CARMEN ,,,,,,,,,,
,17.00-18.00h,Ajustes Técnicos CARMEN,,,,,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,18.30-22.00h,Ajustes Técnicos CARMEN,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Dic. 2025,22.30-23.15h,Ajustes Técnicos CARMEN,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Domingo,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje CARMEN                                 Montaje ARIADNE Y BARBAZUL,,RESERVADA                                                                                               CARMEN,,SALA DE ORQUESTA,,,
7,08.30-10.00h,E.Luces CARMEN,BLOQUEADA,,,,,,,,,
,08.30-14.30h,Montaje -16  ARIADNE Y BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E.Luces CARMEN,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Pasada + Limpieza,,,,,,,,,,
,15.00-16.00h,Montaje Orquesta,,,,,,,,,,
,15.30-16.00h,Preparación Ensayo,,,,,,,,,,
,16.00-16.45h,Ensayo Técnico CARMEN ,,,,,,,,,,
,16.45-18.00h,Preparación Ensayo + Limpieza,,,,,,,,,,
,18.00h,E.Pregeneral CARMEN  - Cast A,,,,,,,,,,
,,,,,,,,,,,,
,a 22.00h,Ajustes Técnicos CARMEN,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Dic. 2025,22.30-23.15h,Ajustes Técnicos CARMEN,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
SEMANA Nº50   PROVISIONAL,,,,,,,,,,,,
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
Lunes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje CARMEN                                 Montaje ARIADNE Y BARBAZUL,,RESERVADA                                                                                               CARMEN,,SALA DE ORQUESTA,,,
8,08.30-10.00h,E.Luces CARMEN,,,,,,,09.00-19.00h,RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          EVENTO FORBES,,
,08.30-14.30h,Montaje -16  ARIADNE Y BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,E.Luces CARMEN,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Pasada + Limpieza,,,,,,,,,,
,15.30-16.00h,Preparación Ensayo,,,,,,,,,,
,16.00-16.45h,Ensayo Técnico CARMEN ,,,,,,,,,,
,16.45-18.00h,Preparación Ensayo + Limpieza,,,,,,,,,,
,18.00h,E.General CARMEN  - Cast B,,,,,,,,,,
,,,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Dic. 2025,22.30-23.15h,Ajustes Técnicos CARMEN,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Martes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje CARMEN                                 Montaje ARIADNE Y BARBAZUL,,,,SALA DE ORQUESTA,,,
9,08.30-10.00h,E.Luces CARMEN,,,,,,,RESERVADA ARTISTICA,,,
,08.30-14.30h,Montaje -16  ARIADNE Y BARBAZUL,,,,,,,,,,
