SEMANA Nº01   PROVISIONAL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
SEMANA Nº01   PROVISIONAL,,,,,,,,,,,,
Lunes,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,Montaje ENEMIGO DEL PUEBLO,,SALA DE ORQUESTA,,,
29,08.30-10.00h,Dossier Técnico CARMEN,,,,,,,,,,
,08.30-14.30h,Montaje -16  ARIANE ET BARBE BLEUE,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dossier Técnico CARMEN,,,,,,,18.30-19.30h,Vocalización CORO,,
,14.30-15.00,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,,,,,,,,
,16.00-17.00h,Preparación Función,,,,,,,,,,
,17.00-17.45h,Ensayo Técnico CARMEN ,,,,,,,,,,
,17.45-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,CARMEN    12/16  REP. A,,,,,,,,,,
Dic. 2025,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
Martes,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,Montaje ENEMIGO DEL PUEBLO,,SALA DE ORQUESTA,,,
30,08.30-10.00h,Dossier Técnico CARMEN,,,,,,,,,,
,08.30-14.30h,Montaje -16  ARIADNA Y BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dossier Técnico CARMEN,,,,,,,18.30-19.30h,Vocalización CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,,,,,,,,
,16.00-17.00h,Preparación Función,,,,,,,,,,
,17.00-17.45h,Ensayo Técnico CARMEN ,,,,,,,,,,
,17.45-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,CARMEN    13/16  REP. B,,,,,,,,,,
Dic. 2025,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
Miércoles,00.00-07.00h,Cambio a EVENTO ,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,Montaje ENEMIGO DEL PUEBLO,,SALA DE ORQUESTA,,,
31,EVENTO EXCELENTIA                                                                                                 ESCENARIO COMPLETO,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,SALA DE CORO,,,
,,,,,,,,,,,,
Dic. 2025,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
Jueves,00.00-07.00h,Cambio a EVENTO ,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,Montaje ENEMIGO DEL PUEBLO,,SALA DE ORQUESTA,,,
1,EVENTO: DISPONIBLE                                                                                                      ESCENARIO COMPLETO,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,SALA DE CORO,,,
,,,,,,,,,,,,
Ene. 2026,,,,,,,,,,,,
,a 00.00h,Desmontaje EVENTO,,,,,,,,,,
Viernes,00.00-07.00h,Desmontaje EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,Montaje ENEMIGO DEL PUEBLO,,SALA DE ORQUESTA,,,
2,08.30-10.00h,Cambio a CARMEN,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Cambio a CARMEN,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,18.30-19.30h,Vocalización CORO,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,16.00-21.00h,E.Piano                                   ARIADNA Y BARBAZUL,,,,,,
,16.00-17.00h,Preparación Función,,,,,,,,,,
,17.00-17.45h,Ensayo Técnico CARMEN ,,,,,,,,,,
,17.45-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,CARMEN    14/16  REP. A,,,,,,,,,,
,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
Sábado,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                              ARIADNA Y BARBAZUL,Montaje ENEMIGO DEL PUEBLO,,SALA DE ORQUESTA,,,
3,08.30-10.00h,Dossier Técnico CARMEN,,,,,,,,,,
,08.30-14.30h,Montaje -16  ARIADNA Y BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Dossier Técnico CARMEN,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,18.30-19.30h,Vocalización CORO,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,16.00-19.00h,E.Piano                                   ARIADNA Y BARBAZUL,,,,,,
,16.00-17.00h,Preparación Función,,,,,,,,,,
,17.00-17.45h,Ensayo Técnico CARMEN ,,,,,,,,,,
,17.45-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,CARMEN    15/16  REP. B,,,,,,,,,,
,,,,,,,,,,,,
,a 23.30h,Cambio a Domingo de Camara,,,,,,,,,,
Domingo,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                   ARIADNA Y BARBAZUL,Montaje ENEMIGO DEL PUEBLO,,SALA DE ORQUESTA,,,
4,08.30-10.00h,Dossier Técnico CARMEN,,,,,,,,,,
,08.30-14.30h,Montaje -16  ARIADNA Y BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dossier Técnico CARMEN,,,,,,,17.00-18.00h,Vocalización CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,15.30-16.00h,Montaje Orquesta,,,,,,,,,,
,15.30-17.30h,Preparación Función + Limpieza,,,16.00-19.00h,E.Piano                                   ARIADNA Y BARBAZUL,,,,,,
,18.00h,CARMEN    16/16  REP. A,,,,,,,,,,
,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
SEMANA Nº02   PROVISIONAL,,,,,,,,,,,,
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
