FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS
SEMANA Nº27   PROVISIONAL,,,,,,,,,,,
Lunes,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje IL TROVATORE                               Montaje 1º OPERA TEMPORADA 2026/2027,,RESERVADA                                                                                                             IL TROVATORE,,SALA DE ORQUESTA,,
29,08.30-10.00h,E. Luces IL TROVATORE,,,,,,,,,
,08.30-14.30h,Montaje -16       1ªOPERA TEMPORADA 26/27,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,
,10.30-14.30h,E. Luces IL TROVATORE,,,,,,,18.30-19.30h,Vocalización  CORO,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,,,,,,,
,16.00-18.30h,Preparación Función,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,
,18.30-19.00h,Limpieza,,,,,,,,,
,19.30h,IL TROVATORE    01/17       REP.A,,,,,,,, ,
Jun. 2026   ,,,,,,,,,,,
,a 23.30h,Recogida y finalización actividad,,,,,,,,,
Martes,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje IL TROVATORE                               Montaje 1º OPERA TEMPORADA 2026/2027,,,,SALA DE ORQUESTA,,
30,08.30-10.00h,Cambio a Recital Anna NETREBKO,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,
,10.30-14.30h,Cambio a Recital Anna NETREBKO,,,,,,,SALA DE CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,
,15.00-16.00h,Preparación Ensayo,,,,,,,,,
,15.00-16.00h,Montaje Orquesta,,,,,,,,,
,15.00-16.00h,Preparación Prueba Acústica + Limpieza,,,,,,,,,
,XX.XX-XX.XXh,Prueba Acustica,,,,,,,,,
,17.00-18.30h,Preparación Recital + Limpieza,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,
,19.30h, CONCIERTO: ANNA NETREBKO,,,,,,,,,
Jun. 2026   ,,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,
Miércoles,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje IL TROVATORE                               Montaje 1º OPERA TEMPORADA 2026/2027,,RESERVADA                                                                                                             IL TROVATORE,,SALA DE ORQUESTA,,
1,08.30-10.00h,Cambio a IL TROVATORE,,,,,,,,,
,08.30-14.30h,Montaje -16       1ªOPERA TEMPORADA 26/27,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,
,10.30-14.30h,Cambio a IL TROVATORE,,,,,,,18.30-19.30h,Vocalización  CORO,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,,,,,,,
,16.00-18.30h,Preparación Función,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,
,19.30h,IL TROVATORE    02/17       REP.B,,,,,,,,,
Jul. 2026,,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,
Jueves,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje IL TROVATORE                               Montaje 1º OPERA TEMPORADA 2026/2027,,RESERVADA                                                                                                             IL TROVATORE,,SALA DE ORQUESTA,,
2,08.30-10.00h,Preparación ensayo,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,
,10.30-11.30h,Preparación ensayo + Limpieza,,,,,,,SALA DE CORO,,
,11.30-14.30h,E.Piano IL TROVATORE (1),,,,,,,18.30-19.30h,Vocalización  CORO,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,,,,,,,
,16.00-18.30h,Preparación Función,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,
,19.30h,IL TROVATORE    03/17       REP.A,,,,,,,,,
Jul. 2026,,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,
Miércoles,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje IL TROVATORE                               Montaje 1º OPERA TEMPORADA 2026/2027,,RESERVADA                                                                                                             IL TROVATORE,,SALA DE ORQUESTA,,
3,08.30-10.00h,Preparación ensayo,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,
,10.30-11.30h,Preparación ensayo + Limpieza,,,,,,,SALA DE CORO,,
,11.30-14.30h,E.Piano IL TROVATORE (2),,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,
,15.00-16.00h,Preparación Ensayo,,,,,,,,,
,15.30-16.30h,Montaje orquesta,,,,,,,,,
,16.00-17.00h,Preparación Ensayo + Limpieza,,,,,,,,,
,17.00-21.00h,E.Conjunto IL TROVATORE - CAST. C,,,,,,,,,
,21.00-22.00h,Ajustes Técnicos IL TROVATORE,,,,,,,,,
