FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
SEMANA Nº19   PROVISIONAL,,,,,,,,,,,,
Lunes,00.00-07.00h,DESCARGA REAL BALLET de SUECIA,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                     ROMEO Y JULIETA,RESERVADA                                                              REAL BALLET de SUECIA,,SALA DE ORQUESTA,,,
4,08.30-10.00h,Montaje Luces REAL BALLET de SUECIA,,,,,,,11.00-14.00h,L.O.  REAL BALLET de SUECIA (3),,
,10.00-10.25h,PAUSA TECNICA,,,,,,,16.00-19.00h,L.O.  REAL BALLET de SUECIA (4),,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Montaje Luces REAL BALLET de SUECIA,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,11.00-14.00h,E. Musical CORO,,
,15.00-16.00h,Montaje Luces REAL BALLET de SUECIA,,,,,,,16.00-19.00h,E. Musical CORO,,
,16.00-18.30h,Montaje  REAL BALLET de SUECIA,,,16.00-19.00h,E.Piano                                     ROMEO Y JULIETA,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.00-22.00h,Montaje  REAL BALLET de SUECIA,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
May. 2026,22.30-23.15h,Montaje  REAL BALLET de SUECIA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Martes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                     ROMEO Y JULIETA,RESERVADA                                                              REAL BALLET de SUECIA,,SALA DE ORQUESTA,,,
5,08.30-10.00h,Dirección Luces  REAL BALLET de SUECIA,,,,,,,,,,
,08.30-14.30h,Montaje -16  ROMEO Y JULIETA,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dirección Luces  REAL BALLET de SUECIA,,,,,,,11.00-14.00h,E. Musical CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,16.00-19.00h,E. Musical CORO,,
,15.00-16.00h,Dirección Luces  REAL BALLET de SUECIA,,,,,,,,,,
,16.00-18.30h,Grabación Luces  REAL BALLET de SUECIA,,,16.00-19.00h,E.Piano                                     ROMEO Y JULIETA,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.00-22.00h,Grabación Luces  REAL BALLET de SUECIA,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
May. 2026,22.30-23.15h,Grabación Luces  REAL BALLET de SUECIA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Jueves,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,19.00-21.00h,CURSO:,11.00-14.00h,E.Piano                                     ROMEO Y JULIETA,RESERVADA                                                              REAL BALLET de SUECIA,,SALA DE ORQUESTA,,,
6,08.30-10.00h,Preparación ensayo,,LOS SECRETOS DE LA OPERA II,,,,,,,,
,08.30-10.00h,Montaje Orquesta,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-11.00h,Prep. Ensayo REAL BALLET de SUECIA + Limpieza,,,,,,,11.00-14.00h,E. Musical CORO,,
,11.00-11.30h ,Entrada Bailarines escenario,,,,,,,,,,
,11.30-14.30h,E.CONJUNTO REAL  BALLET DE SUECIA (1),,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-17.00h,Preparación ensayo,,,16.00-19.00h,E.Piano                                     ROMEO Y JULIETA,,,,,,
,16.00-16.30h,Limpieza,,,,,,,,,,
,17.00-20.00h,E.CONJUNTO REAL  BALLET DE SUECIA (2),,,,,,,,,,
,20.00-22.00h,Ajustes Tecnicos REAL BALLET de SUECIA,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
May. 2026,22.30-23.15h,Ajustes Tecnicos REAL BALLET de SUECIA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Jueves,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                     ROMEO Y JULIETA,RESERVADA                                                              REAL BALLET de SUECIA,,SALA DE ORQUESTA,,,
7,08.30-10.00h,Preparación Clase REAL BALLET de SUECIA,,,,,,,,,,
,08.30-14.30h,Montaje -16  ROMEO Y JULIETA,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-11.00h,Prep. Clase REAL BALLET de SUECIA + LIMPIEZA,,,,,,,,,,
,11.00-11.30h ,Entrada Bailarines escenario,,,,,,,,,,
,11.30-14.30h,CLASE REAL BALLET DE SUECIA,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-18.00h,Preparación Función + Limpieza,,,16.00-19.00h,E.Piano                                     ROMEO Y JULIETA,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,19.30h,BALLET JULIETA Y ROMEO               1/5                                                                                         REAL BALLET DE SUECIA  ,,,,,,,,,,
May. 2026,,,,,,,,,,,,
,a 23.30h,Recogida y finalización actividad,,,,,,,,,,
Viernes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                     ROMEO Y JULIETA,RESERVADA                                                              REAL BALLET de SUECIA,,SALA DE ORQUESTA,,,
8,08.30-10.00h,Preparación Clase REAL BALLET de SUECIA,,,,,,,RESERVADA  EVENTO,,,
,08.30-14.30h,Montaje -16  ROMEO Y JULIETA,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-11.00h,Prep. Clase REAL BALLET de SUECIA + LIMPIEZA,,,,,,,,,,
,11.00-11.30h ,Entrada Bailarines escenario,,,,,,,,,,
,11.30-14.30h,CLASE REAL BALLET DE SUECIA,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-18.00h,Preparación Función + Limpieza,,,16.00-19.00h,E.Piano                                     ROMEO Y JULIETA,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,19.30h,BALLET JULIETA Y ROMEO               2/5                                                                                         REAL BALLET DE SUECIA  ,,,,,,,,,,
May. 2026,,,,,,,,,,,,
,a 23.30h,Recogida y finalización actividad,,,,,,,,,,
Sábado,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,RESERVADA                                                              REAL BALLET de SUECIA,,SALA DE ORQUESTA,,,
9,08.30-10.00h,Preparación Clase REAL BALLET de SUECIA,,,,,,,,,,
,08.30-14.30h,Montaje -16  ROMEO Y JULIETA,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-11.00h,Prep. Clase REAL BALLET de SUECIA + LIMPIEZA,,,,,,,,,,
,11.00-11.30h ,Entrada Bailarines escenario,,,,,,,,,,
,11.30-14.30h,CLASE REAL BALLET DE SUECIA,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,15.30-16.30h,Preparación Función,,,,,,,,,,
,17.00h,BALLET JULIETA Y ROMEO               3/5                                                                                         REAL BALLET DE SUECIA  ,,,,,,,,,,
,,,,,,,,,,,,
,19.00-20.00h,Preparación Función + Limpieza,,,,,,,,,,
,21.00h,BALLET JULIETA Y ROMEO               4/5                                                                                         REAL BALLET DE SUECIA  ,,,,,,,,,,
May. 2026,,,,,,,,,,,,
,a  00.00h,Recogida y finalización actividad,,,,,,,,,,
Domingo,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                               ROMEO Y JULIETA,RESERVADA                                                              REAL BALLET de SUECIA,,SALA DE ORQUESTA,,,
10,08.30-10.00h,Preparación Clase REAL BALLET de SUECIA,,,,,,,,,,
,08.30-14.30h,Montaje -16  ROMEO Y JULIETA,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-11.00h,Prep. Clase REAL BALLET de SUECIA + LIMPIEZA,,,,,,,,,,
,11.00-11.30h ,Entrada Bailarines escenario,,,,,,,,,,
,11.30-14.30h,CLASE REAL BALLET DE SUECIA,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,15.30-16.00h,Montaje Orquesta,,,16.00-19.00h,E.Piano                               ROMEO Y JULIETA,,,,,,
,15.30-17.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.00h,BALLET JULIETA Y ROMEO               5/5                                                                                         REAL BALLET DE SUECIA  ,,,,,,,,,,
May. 2026,,,,,,,,,,,,
,a 00.00h,Carga y Desmontaje BALLET REAL DE SUECIA,,,,,,,,,,
SEMANA Nº20   PROVISIONAL,,,,,,,,,,,,
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
Lunes,00.00-07.00h,Desmontaje y Carga BALLET REAL DE SUECIA,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                     ROMEO Y JULIETA,RESERVADA                                                                                                           ROMEO Y JULIETA,,SALA DE ORQUESTA,,,
11,08.30-10.00h,Montaje Luces ROMEO Y JULIETA,,,,,,,11.00-14.00h,L.O. Cto. Ciclo OSM (1),,
,10.00-10.25h,PAUSA TECNICA,,,,,,,16.00-19.00h,L.O. Cto. Ciclo OSM (2),,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Montaje Luces ROMEO Y JULIETA,,,,,,,SALA DE CORO,,,
,14.30-15.00,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00,Montaje Luces ROMEO Y JULIETA,,,,,,,,,,
,15.30-18.00h,Montaje ROMEO Y JULIETA,,,16.00-19.00h,E.Piano                                     ROMEO Y JULIETA,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,18.30-22.00h,Montaje ROMEO Y JULIETA,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
May. 2026,22.30-23.15h,Montaje ROMEO Y JULIETA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Martes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                     ROMEO Y JULIETA,RESERVADA                                                                                                           ROMEO Y JULIETA,,SALA DE ORQUESTA,,,
12,08.30-10.00h,Montaje ROMEO Y JULIETA,,,,,,,11.00-14.00h,L.O. Cto. VII Ciclo OSM (3),,
,10.00-10.25h,PAUSA TECNICA,,,,,,,16.00-19.00h,L.O. Cto. VII Ciclo OSM (4),,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Montaje ROMEO Y JULIETA,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,11.00-14.00h,E. Musical CORO,,
,15.00-16.00h,Montaje ROMEO Y JULIETA,,,,,,,16.00-19.00h,E. Musical CORO,,
,15.30-18.00h,Montaje ROMEO Y JULIETA,,,16.00-19.00h,E.Piano                                     ROMEO Y JULIETA,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,18.30-22.00h,Montaje ROMEO Y JULIETA,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
May. 2026,22.30-23.15h,Montaje ROMEO Y JULIETA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Miércoles,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje                                                                             ROMEO Y JULIETA                               Montaje                                                                                       IL TROVATORE,,RESERVADA                                                                                                           ROMEO Y JULIETA,,SALA DE ORQUESTA,,AUDITORIO NACIONAL,
13,08.30-10.00h,Montaje ROMEO Y JULIETA,,,,,,,,,17.30-18.30h,E. General Cto.Auditorio
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,19.30h,Concierto Auditorio VII                       
,10.00-10.30h,VISITA GENERAL,,,,,,,,,," Mº Pedro Halffter, OSM"
,10.30-14.30h,Montaje ROMEO Y JULIETA,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Montaje ROMEO Y JULIETA,,,,,,,,,,
,16.00-18.00h,Grabación Técnica ROMEO Y JULIETA,,,,,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,18.30-22.00h,Grabación Técnica ROMEO Y JULIETA,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
May. 2026,22.30-23.15h,Grabación Técnica ROMEO Y JULIETA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Jueves,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje                                                                             ROMEO Y JULIETA                               Montaje                                                                                       IL TROVATORE,,RESERVADA                                                                                                           ROMEO Y JULIETA,,SALA DE ORQUESTA,,,
14,08.30-10.00h,Dirección Luces ROMEO Y JULIETA,,,,,,,11.00-14.00h,L.O.  ROMEO Y JULIETA (1),,
,08.30-14.30h,Montaje -16 IL TROVATORE,,,,,,,16.00-19.00h,L.O.  ROMEO Y JULIETA (2),,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dirección Luces ROMEO Y JULIETA,,,,,,,13.00-15.00h,E. Musical CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Preparación ensayo,,,,,,,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,17.00-22.00h,E.Piano ROMEO Y JULIETA (1),,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
May. 2026,22.30-23.15h,Ajustes Técnicos ROMEO Y JULIETA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Viernes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje                                                                             ROMEO Y JULIETA                               Montaje                                                                                       IL TROVATORE,,RESERVADA                                                                                                           ROMEO Y JULIETA,,SALA DE ORQUESTA,,,
15,08.30-10.00h,Dirección Luces ROMEO Y JULIETA,,,,,,,11.00-14.00h,L.O.  ROMEO Y JULIETA (3),,
,08.30-14.30h,Montaje -16 IL TROVATORE,,,,,,,16.00-19.00h,L.O.  ROMEO Y JULIETA (4),,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dirección Luces ROMEO Y JULIETA,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Preparación ensayo,,,,,,,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,17.00-22.00h,E.Piano ROMEO Y JULIETA (2),,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
May. 2026,22.30-23.15h,Ajustes Técnicos ROMEO Y JULIETA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Sábado,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje                                                                             ROMEO Y JULIETA                               Montaje                                                                                       IL TROVATORE,,RESERVADA                                                                                                           ROMEO Y JULIETA,,SALA DE ORQUESTA,,,
16,08.30-10.00h,E.Luces ROMEO Y JULIETA,,,,,,,,,,
,08.30-14.30h,Montaje -16 IL TROVATORE,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E.Luces ROMEO Y JULIETA,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Preparación ensayo,,,,,,,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,17.00-22.00h,E.Piano ROMEO Y JULIETA (3),,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
May. 2026,22.30-23.15h,Ajustes Técnicos ROMEO Y JULIETA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Domingo,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje                                                                             ROMEO Y JULIETA                               Montaje                                                                                       IL TROVATORE,,RESERVADA                                                                                                           ROMEO Y JULIETA,,SALA DE ORQUESTA,,,
17,08.30-10.00h,E.Luces ROMEO Y JULIETA,,,,,,,,,,
,08.30-14.30h,Montaje -16 IL TROVATORE,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E.Luces ROMEO Y JULIETA,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Preparación ensayo,,,,,,,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,17.00-22.00h,E.Piano ROMEO Y JULIETA (4),,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
May. 2026,22.30-23.15h,Ajustes Técnicos ROMEO Y JULIETA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
SEMANA Nº25   PROVISIONAL,,,,,,,,,,,,
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
Lunes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje                                                                             ROMEO Y JULIETA                               Montaje                                                                                       IL TROVATORE,,RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ROMEO Y JULIETA     ,,SALA DE ORQUESTA,,,
18,08.30-10.00h,E.Luces ROMEO Y JULIETA,,,,,,,11.00-14.00h,L.O.  ROMEO Y JULIETA (5),,
,08.30-14.30h,Montaje -16 IL TROVATORE,,,,,,,16.00-19.00h,L.O.  ROMEO Y JULIETA (6),,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E.Luces ROMEO Y JULIETA,,,,,,,,,,
,14.30-15.00,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00,Preparación ensayo,,,,,,,,,,
,15.30-16.30h,Preparación ensayo,,,,,,,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,17.00-22.00h,E.Piano ROMEO Y JULIETA (5),,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
May. 2026,22.30-23.15h,Ajustes Técnicos ROMEO Y JULIETA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Martes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje                                                                             ROMEO Y JULIETA                               Montaje                                                                                       IL TROVATORE,,RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ROMEO Y JULIETA                                                                                                                                                                                                                                                                       ,,SALA DE ORQUESTA,,,
19,08.30-10.00h,Preparación ensayo,,,,,,,RESERVADA                                                                                                                                                                                                                                                                                                             LOS ESTUNMEN (Teatros del Canal )   ,,,
,08.30-10.00h,Montaje Orquesta,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-11.30h,Preparación ensayo + Limpieza,,,,,,,,,,
,11.30-14.30h,E.Italiana ROMEO Y JULIETA (1),,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,15.30-16.30h,Preparación ensayo,,,,,,,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,17.00-20.00h,E.Italiana ROMEO Y JULIETA (2),,,,,,,,,,
,20.00-22.00h,Ajustes Técnicos ROMEO Y JULIETA,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
May. 2026,22.30-23.00h,Ajustes Técnicos ROMEO Y JULIETA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Miércoles,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje                                                                             ROMEO Y JULIETA                               Montaje                                                                                       IL TROVATORE,,RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ROMEO Y JULIETA           ,,SALA DE ORQUESTA,,SALÓN DE BAILE,
20,08.30-10.00h,E.Luces ROMEO Y JULIETA,,,,,,,RESERVADA                                                                                                                                                                                                                                                                                                             LOS ESTUNMEN (Teatros del Canal )   ,,20.00h,Flamenco Real 8        1/3
,08.30-14.30h,Montaje -16 IL TROVATORE,,,,,,,,,,El Junco & Caracolilla de Cádiz
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E.Luces ROMEO Y JULIETA,,,,,,,,,,
,14.30-15.00,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00,Preparación ensayo,,,,,,,,,,
,16.00-17.00h,Preparación ensayo,,,,,,,,,,
,16.00-17.00h,Limpieza,,,,,,,,,,
,17.00-22.00h,E.Antepiano ROMEO Y JULIETA,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
May. 2026, 22.30-23.15h,Ajustes Técnicos ROMEO Y JULIETA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Jueves,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje                                                                             ROMEO Y JULIETA                               Montaje                                                                                       IL TROVATORE,,RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ROMEO Y JULIETA     ,,SALA DE ORQUESTA,,SALÓN DE BAILE,
21,08.30-10.00h,Preparación ensayo,,,,,,,RESERVADA                                                                                                                                                                                                                                                                                                             LOS ESTUNMEN (Teatros del Canal )   ,,20.00h,Flamenco Real 8        2/3
,08.30-10.00h,Montaje Orquesta,,,,,,,,,,El Junco & Caracolilla de Cádiz
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-11.30h,Preparación ensayo + Limpieza,,,,,,,,,,
,11.30-14.30h,E.Conjunto ROMEO Y JULIETA (1),,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-17.00h,Preparación ensayo,,,,,,,,,,
,16.00-17.00h,Limpieza,,,,,,,,,,
,17.00-20.00h,E.Conjunto ROMEO Y JULIETA (2),,,,,,,,,,
,20.00-22.00h,Ajustes Técnicos ROMEO Y JULIETA,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
May. 2026,22.30-23.15h,Ajustes Técnicos ROMEO Y JULIETA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Viernes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje                                                                             ROMEO Y JULIETA                               Montaje                                                                                       IL TROVATORE,,RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ROMEO Y JULIETA       ,,SALA DE ORQUESTA,,SALÓN DE BAILE,
22,08.30-10.00h,Preparación ensayo,,,,,,,RESERVADA                                                                                                                                                                                                                                                                                                             LOS ESTUNMEN (Teatros del Canal )   ,,20.00h,Flamenco Real 8        3/3
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,El Junco & Caracolilla de Cádiz
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-11.30h,Preparación ensayo + Limpieza,,,,,,,SALA DE CORO,,,
,11.30-14.30h,E.Conjunto ROMEO Y JULIETA (3),,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-17.00h,Preparación ensayo,,,,,,,,,,
,16.00-17.00h,Limpieza,,,,,,,,,,
,17.00-20.00h,E.Conjunto ROMEO Y JULIETA (4),,,,,,,,,,
,20.00-22.00h,Ajustes Técnicos ROMEO Y JULIETA,20.15h,"ENFOQUES:                     
ROMEO Y JULIETA",,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
May. 2026,22.30-23.15h,Ajustes Técnicos ROMEO Y JULIETA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Sábado,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje                                                                             ROMEO Y JULIETA                               Montaje                                                                                       IL TROVATORE,,RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ROMEO Y JULIETA           ,,SALA DE ORQUESTA,,,
23,08.30-10.00h,Preparación ensayo,,,,,,,RESERVADA                                                                                                                                                                                                                                                                                                             LOS ESTUNMEN (Teatros del Canal )   ,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-11.30h,Preparación ensayo + Limpieza,,,,,,,SALA DE CORO,,,
,11.30-14.30h,E.Conjunto ROMEO Y JULIETA (5),,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-17.00h,Preparación ensayo,,,,,,,,,,
,16.00-17.00h,Limpieza,,,,,,,,,,
,17.00-20.00h,E.Conjunto ROMEO Y JULIETA (6),,,,,,,,,,
,20.00-22.00h,Ajustes Técnicos ROMEO Y JULIETA,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
May. 2026,22.30-23.15h,Ajustes Técnicos ROMEO Y JULIETA,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Domingo,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje                                                                             ROMEO Y JULIETA                               Montaje                                                                                       IL TROVATORE,,RESERVADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ROMEO Y JULIETA             ,,SALA DE ORQUESTA,,,
