FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
SEMANA Nº40   PROVISIONAL,,,,,,,,,,,,
Lunes,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,07.00-08.00h,Cambio a EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,,,SALA DE ORQUESTA,,SALÓN FALLA & TERRAZA,
29,08.30-10.00h,Dossier Técnico OTELLO,,,,,,,11.00-14.00h,L.O. IRIS (5),10.30-15.00h,60 Aniversario Radio Clásica
,08.30-14.30h,Montaje -16 BARBAZUL/ MANDARIN,,,,,,,16.00-20.00h,E.Musical IRIS  ,,
,08.00-09.30h,Enmoquetado del espacio + Pruebas RTVE,,,,,,,,,,
,09.30-10.30h,Montaje de elementos escénicos externos,,,,,,,,,SALÓN DE BAILE,
,10.00-10.25h,PAUSA TECNICA técnicos TR,,,,,,RESERVADA,,,,PREMIO FORUM EUROPA 2025
,10.00-10.30h,VISITA GENERAL,,,,,,OTELLO,SALA DE CORO,,,
,10.30-11.00h,Ensayos Escolanía,,,,,,,18.30-19.30h,Vocalización Coro,,
,11.00-11.15h,Limpieza escenario,,,,,,,,,,
,11.15h,Apertura de Puertas,,,,,,,,,,
,12.00h,ENTREGA PREMIO FÓRUM EUROPA 2025,,,,,,,,,,
,13.15h,Desmonajte & cambio a OTELLO,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta ,,,16.00-21.00h,E.Piano                                                                                      MANDARÍN / BARBAZUL,17.30 - 23.30h                                                                 RESERVADA                                                            OTELLO,,,,,
,16.00-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,OTELLO    08/12  REP. B,,,,,,,,,,
Sept. 2025,,,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Martes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                                                                     MANDARÍN / BARBAZUL,RESERVADA AUDICIONES OSM,,SALA DE ORQUESTA,,SALÓN CARLOS ,
30,08.30-10.00h,Cambio a Conchita Acústica,,,,,,,09.00-18.00h,AUDICIONES OSM,09.00-19.00h,ACCENTURE - Comité dirección
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,11.00h,RUEDA DE PRENSA,,,,,,,SALÓN DE BAILE,
,10.30-14.30h,Cambio a Conchita Acústica,,IRIS,,,,,SALA DE CORO,,08.00h,Montaje Acto ZURICH
,10.30-13.00h,Afinación piano,,,,,,,17.00-20.00h,Grupo OSM YOSHIKO,13.00-16.30h,ACTO ZURICH
,12.00-13.00h,Iluminación del espacio,,,,,,,,,,
,13.00-15.00h,Ensayo solo pianista,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA técnicos TR,,,,,,,,,,
,15.00-16.30h, Ajustes,,,,,,,,,,
,15.00-16.00h,Montaje Orquesta,,,15.30-18.30h,E.Piano                                                                                      MANDARÍN / BARBAZUL,,,,,,
,16.30-18.00h,Ensayo,,,,,,,,,,
,18.00h,Citación caracterización Asmik Grigorian,,,,,,,,,,
,18.00-18.30h,Limpieza escenario,,,,,,,,,,
,18.30h,Apertura de Sala,,,,,,,,,,
,19.30h, CONCIERTO: ASMIK GRIGORIAN,,,,,,,,,,
,,Grab. ,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Miercoles,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                                 MANDARÍN / BARBAZUL,RESERVADA AUDICIONES OSM,,SALA DE ORQUESTA,,SALÓN DE BAILE&FALLA & TERRAZA,
1,08.30-10.00h,Cambio a Ópera en Concierto IRIS,,,,,,,10.00-15.00h,AUDICIONES OSM,08.00-17.00h,Montaje 
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,19.00-22.00h, FUNDACION FORMENTOR
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Cambio a Ópera en Concierto IRIS,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,13.00-15.00h,E. Musical Coro,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,15.00-16.00h,Montaje Orquesta,,,15.30-18.30h,E.Piano                                                            MANDARÍN / BARBAZUL,,,,,,
,15.30-16.30h,Preparación ensayo + Limpieza,,,,,,,,,,
,17.00-21:00h,E.Conjunto Ópera en Concierto: IRIS,,,,,,,,,,
,21.00-22.00h,Ajustes Técnicos Ópera en Concierto IRIS,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Oct. 2025,22.30-23.15h,Ajustes Técnicos Ópera en Concierto IRIS,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Jueves,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                                     MANDARÍN / BARBAZUL,08.00 - 17.30h                                                                 RESERVADA                                                             MANDARÍN / BARBAZUL,,SALA DE ORQUESTA,,SALÓN FALLA & TERRAZA,
2,08.30-10.00h,Cambio a OTELLO,,,,,,,10.30-14.00h,Grupo OSM Yoshiko,08.00h,Montaje ACTO COSENTINO
,08.30-14.30h,Montaje -16 MANDARÍN / BARBAZUL,,,,,,,,,20.00-02.00h,PRESENTACIÓN & CENA
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,ACTO COSENTINO
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Cambio a OTELLO,,,,,,,11.00-15.00h,Ensayo,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,18.30-19.30h,Vocalización Coro,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta ,,,15.30-18.30h,E.Piano                                                             MANDARÍN / BARBAZUL,17.30 - 23.30h                                                                 RESERVADA                                                             OTELLO,,,,,
,16.00-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,OTELLO    09/12  REP. A,,,,,,,,,,
Oct. 2025,,Grab. ,,,,,,,,,,
,a 23.30h,Cambio a EVENTO,,,,,,,,,,
Viernes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                                                 MANDARÍN / BARBAZUL,08.00 - 17.30h                                                                 RESERVADA                                                             MANDARÍN / BARBAZUL,,SALA DE ORQUESTA,,SALÓN CARLOS ,
3,08.30-10.00h,Dossier Técnico OTELLO,,,,,,,,,09.00h,Montaje KT EVENTS
,08.30-14.30h,Montaje -16 MANDARÍN / BARBAZUL,,,,,,,,,09.00-14.00h,ACTO KT EVENTS
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dossier Técnico OTELLO,,,,,,,11.00-15.00h,Ensayo,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,18.30-19.30h,Vocalización Coro,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta ,,,15.30-18.30h,E.Piano                                           MANDARÍN / BARBAZUL,17.30 - 23.30h                                                                 RESERVADA                                                            OTELLO,,,,,
,16.00-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,OTELLO    10/12  REP. B,,,,,,,,,,
Oct. 2025,,,,,,,,,,,,
,a 23.30h,Cambio a ÓPERA EN CONCIERTO,,,,,,,,,,
Sábado,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                                      MANDARÍN / BARBAZUL,RESERVADA                                                             MANDARÍN / BARBAZUL,,SALA DE ORQUESTA,,SALÓN FALLA,
4,08.30-10.00h,Cambio a Concha Acústica,,,,,,,,,22.15h,Cóctel de Divas
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,SALÓN CARLOS ,
,10.00-10.30h,EXPERIENCIA TURISMO,,,,,,,,,10.15-14.00h,Graduación Bircham International University 
,10.30-14.30h,Cambio a Concha Acústica,,,,,,,SALA DE CORO,,,
,12.00-14.30h,Ajustes iluminación ,,,,,,,18.30-19.30h,Vocalización Coro,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta ,,,15.30-18.30h,E.Piano                                      MANDARÍN / BARBAZUL,,,,,,
,16.00-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,ÓPERA EN CONCIERTO: IRIS 1/2    ,,,,,,,,,,
Oct. 2025,,,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Domingo,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,RESERVADA OTELLO,,SALA DE ORQUESTA,,CINE -1,
5,08.30-10.00h,Cambio a OTELLO,,,,,,,,,17.00h,DIRECCION ARTISTICA
,08.30-14.30h,Montaje -16 MANDARÍN / BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Cambio a OTELLO,,,,,,,17.00-18.00h,Vocalización Coro,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,15.30-16.00h,Montaje Orquesta,,,,,,,,,,
,15.30-17.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.00h,OTELLO    11/12  REP. A,,,,,,,,,,
Oct. 2025,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
SEMANA Nº41   PROVISIONAL,,,,,,,,,,,,
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
Lunes,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
