FECHA,ESCENARIO,Unnamed: 2,SALA GAYARRE,Unnamed: 4,S.E.P.E,Unnamed: 6,SALA BALLET,Unnamed: 8,SALA DE ORQUESTA                                       SALA DE CORO,Unnamed: 10,OTRAS SALAS,Unnamed: 12
SEMANA Nº36   PROVISIONAL,,,,,,,,,,,,
Lunes                               ,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,"E.Piano 
OTELLO",RESERVADA OTELLO,,SALA DE ORQUESTA,,,
,08.30-10.00h,Montaje  OTELLO,,,,,,,11.00-14.00h,E. musical OTELLO,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Montaje  OTELLO,,,,,,,SALA DE CORO,,,
1,14.30-15.00,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Montaje  OTELLO,,,,,,,,,,
,16.00-18.00h,Grabación Técnica OTELLO,,,16.00-19.00h,"E.Piano 
OTELLO",,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,18.30-22.00h,Grabación Técnica OTELLO,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Sept. 2025,22.30-23.15h,Grabación Técnica OTELLO,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Martes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano OTELLO                                   (A confirmar),RESERVADA OTELLO,,SALA DE ORQUESTA,,,
2,08.30-10.00h,Dirección Luces OTELLO,,,,,,,11.00-14.00h,E. musical OTELLO,,
,08.30-14.30h,Montaje -16 MANDARÍN / BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dirección Luces OTELLO,,,,,,,13.00-15.00h,E. Musical Coro,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
